index,News,Symbol,Space,Win Rate,Profit,Last 12 Profit,Max_Min,Max_Min_Last_Year,Max_Open,Max_Open_Last_Year,Min_Open,Min_Open_Last_Year,Time_of_Max,Time_of_Max_Last_Year,Time_of_Min,Time_of_Min_Last_Year,Time_of_MinMax,Time_of_MinMax_Last_Year,Buy_Stop,Buy_Stop_Last_Year,Sell_Stop,Sell_Stop_Last_Year
5489,Credit Card Spending (YoY)_4,NZDUSD,2,0.93,674.3,499.0,[261.2 413.1],[226.7 272.3],[125.7 247.1],[ 80.5 136.1],[135.5 255.3],[146.2 229.2],[111.5 201.4],[106.1 210.7],[116.1 207.4],[168.1 228.2],"(array([147.9, 210.4]),)","(array([153.7, 216.5]),)","(array([30.8, 45.9]),)","(array([27.6, 33.7]),)","(array([17.4, 30.4]),)","(array([13.8, 21.5]),)"
5490,Current Account_0.5,NZDUSD,3,0.5566666666666666,200.6,175.1,[ 79.2 121.4],[ 65.5 109.6],[31.3 55.8],[26.7 49.8],[47.9 92.3],[38.8 86.9],[ 8.3 19.8],[ 8.7 20.3],[13.5 25.2],[10.1 20.5],"(array([18.3, 26.6]),)","(array([17.2, 24.2]),)","(array([25.8, 43.1]),)","(array([18.2, 26. ]),)","(array([12.2, 21.4]),)","(array([ 8.9, 14.1]),)"
5491,Current Account_1,NZDUSD,2,0.84,253.5,227.2,[106.  147.5],[ 90.2 137. ],[43.4 82.9],[34.1 73.8],[ 62.6 108.1],[ 56.2 103.2],[26.3 47.2],[29.2 50.8],[29.2 49. ],[24.1 44. ],"(array([30.6, 47.3]),)","(array([29.7, 44.6]),)","(array([26.3, 44. ]),)","(array([20.2, 30.4]),)","(array([12.1, 20. ]),)","(array([12.2, 21.3]),)"
5492,Current Account_1.5,NZDUSD,2,0.925,348.8,320.2,[149.5 199.3],[138.1 182.1],[ 69.7 129.4],[ 66.7 118.2],[ 79.8 130.9],[ 71.4 119.9],[49.1 83.1],[65.5 88.3],[46.  77.8],[38.8 74.9],"(array([58.5, 78. ]),)","(array([61.2, 75.9]),)","(array([27.6, 46. ]),)","(array([22.8, 32.8]),)","(array([12.7, 20.8]),)","(array([12.2, 21.3]),)"
5493,Current Account_2,NZDUSD,2,0.86,464.9,426.9,[195.6 269.3],[182.2 244.7],[ 80.1 158. ],[ 63.5 112.9],[115.5 194.6],[118.7 191.5],[ 57.5 101. ],[ 67.2 100.5],[ 68.8 110.4],[ 64.1 108.2],"(array([79.4, 99.1]),)","(array([72.6, 92. ]),)","(array([27.5, 46.2]),)","(array([22.1, 31.7]),)","(array([13.1, 21.2]),)","(array([13.2, 21.9]),)"
5494,Current Account_2.5,NZDUSD,2,0.845,509.0,454.6,[216.3 292.7],[198.3 256.3],[ 92.6 184. ],[ 71.2 122.5],[123.7 208.5],[127.1 203.4],[ 71.3 127.6],[ 84.6 136.2],[ 76.1 123.3],[ 79.3 128.2],"(array([ 88.9, 120.2]),)","(array([ 85.1, 120.2]),)","(array([26.6, 45.7]),)","(array([22.1, 31.7]),)","(array([13.1, 21.6]),)","(array([13.2, 21.9]),)"
5495,Current Account_3,NZDUSD,2,0.8,558.2,465.3,[233.9 324.3],[205.  260.3],[105.4 220.8],[ 77.9 132.1],[128.5 211.2],[127.1 203.4],[ 84.7 151.1],[ 98.7 155.2],[ 80.6 131.6],[ 79.3 128.2],"(array([ 95.6, 135.1]),)","(array([ 80.6, 114.9]),)","(array([26.6, 45.7]),)","(array([22.1, 31.7]),)","(array([13.1, 21.6]),)","(array([13.2, 21.9]),)"
5496,Current Account_3.5,NZDUSD,2,0.955,598.2,516.5,[255.8 342.4],[232.4 284.1],[123.2 241.2],[104.  160.4],[132.6 216.2],[128.4 204.3],[109.8 193.7],[137.7 211.2],[ 90.7 154.9],[ 86.9 145.7],"(array([123.5, 171.6]),)","(array([115. , 164.4]),)","(array([26.6, 45.7]),)","(array([22.1, 31.7]),)","(array([13.1, 21.6]),)","(array([13.2, 21.9]),)"
5497,Current Account_4,NZDUSD,2,1.0,600.5,554.6,[259.8 340.7],[250.8 303.8],[115.4 217.7],[115.1 174.6],[144.4 223.2],[135.7 209.2],[138.6 235.6],[186.4 254.6],[103.9 177.9],[ 99.9 173.9],"(array([142.6, 190.2]),)","(array([143.8, 188.5]),)","(array([26.3, 45.8]),)","(array([22.1, 31.7]),)","(array([12.9, 21.6]),)","(array([13.2, 21.9]),)"
5498,Current Account % of GDP_0.5,NZDUSD,3,0.5933333333333334,203.3,175.1,[ 77.6 125.7],[ 65.5 109.6],[27.2 50.7],[26.7 49.8],[50.4 99.2],[38.8 86.9],[ 8.5 19.9],[ 8.7 20.3],[12.8 24. ],[10.1 20.5],"(array([18.5, 25.8]),)","(array([17.2, 24.2]),)","(array([19.4, 28.5]),)","(array([18.2, 26. ]),)","(array([10.3, 18.3]),)","(array([ 8.9, 14.1]),)"
5499,Current Account % of GDP_1,NZDUSD,2,0.865,236.9,227.2,[ 96.2 140.7],[ 90.2 137. ],[42.5 86.8],[34.1 73.8],[53.6 96.9],[ 56.2 103.2],[32.1 52.7],[29.2 50.8],[22.6 43.6],[24.1 44. ],"(array([32.4, 47.9]),)","(array([29.7, 44.6]),)","(array([20.1, 29.9]),)","(array([20.2, 30.4]),)","(array([11.2, 19.4]),)","(array([12.2, 21.3]),)"
5500,Current Account % of GDP_1.5,NZDUSD,2,0.9,315.0,320.2,[136. 179.],[138.1 182.1],[ 62.3 112.9],[ 66.7 118.2],[ 73.7 120. ],[ 71.4 119.9],[59.3 84.2],[65.5 88.3],[38.9 73.3],[38.8 74.9],"(array([56.5, 74.8]),)","(array([61.2, 75.9]),)","(array([21.1, 31.1]),)","(array([22.8, 32.8]),)","(array([11.8, 20.2]),)","(array([12.2, 21.3]),)"
5501,Current Account % of GDP_2,NZDUSD,2,0.785,418.5,426.9,[177.7 240.8],[182.2 244.7],[ 66.5 119.9],[ 63.5 112.9],[111.2 181.2],[118.7 191.5],[ 69.  102.9],[ 67.2 100.5],[ 64.6 109.9],[ 64.1 108.2],"(array([74.6, 93.8]),)","(array([72.6, 92. ]),)","(array([20.4, 30.4]),)","(array([22.1, 31.7]),)","(array([12.4, 20.8]),)","(array([13.2, 21.9]),)"
5502,Current Account % of GDP_2.5,NZDUSD,2,0.785,446.5,454.6,[195.5 251. ],[198.3 256.3],[ 73.1 127.7],[ 71.2 122.5],[122.4 195.4],[127.1 203.4],[ 83.9 133.5],[ 84.6 136.2],[ 78.1 127.9],[ 79.3 128.2],"(array([ 85.7, 118.4]),)","(array([ 85.1, 120.2]),)","(array([20.4, 30.4]),)","(array([22.1, 31.7]),)","(array([12.4, 20.8]),)","(array([13.2, 21.9]),)"
5503,Current Account % of GDP_3,NZDUSD,2,0.725,455.9,465.3,[201.2 254.7],[205.  260.3],[ 78.9 135.7],[ 77.9 132.1],[122.4 195.4],[127.1 203.4],[ 96.1 150.4],[ 98.7 155.2],[ 78.1 127.9],[ 79.3 128.2],"(array([ 81.9, 114. ]),)","(array([ 80.6, 114.9]),)","(array([20.4, 30.4]),)","(array([22.1, 31.7]),)","(array([12.4, 20.8]),)","(array([13.2, 21.9]),)"
5504,Current Account % of GDP_3.5,NZDUSD,2,0.945,506.6,516.5,[229.  277.6],[232.4 284.1],[101.2 160.2],[104.  160.4],[127.8 202.6],[128.4 204.3],[129.5 201.7],[137.7 211.2],[ 90.  155.1],[ 86.9 145.7],"(array([116.8, 164. ]),)","(array([115. , 164.4]),)","(array([20.4, 30.4]),)","(array([22.1, 31.7]),)","(array([12.4, 20.8]),)","(array([13.2, 21.9]),)"
5505,Current Account % of GDP_4,NZDUSD,2,1.0,541.1,554.6,[245.  296.1],[250.8 303.8],[110.7 172.9],[115.1 174.6],[134.3 207.2],[135.7 209.2],[171.2 245.7],[186.4 254.6],[101.8 179.6],[ 99.9 173.9],"(array([142.1, 185.5]),)","(array([143.8, 188.5]),)","(array([20.4, 30.4]),)","(array([22.1, 31.7]),)","(array([12.4, 20.8]),)","(array([13.2, 21.9]),)"
5506,Current Account (YoY)_0.5,NZDUSD,3,0.5933333333333334,203.3,175.1,[ 77.6 125.7],[ 65.5 109.6],[27.2 50.7],[26.7 49.8],[50.4 99.2],[38.8 86.9],[ 8.5 19.9],[ 8.7 20.3],[12.8 24. ],[10.1 20.5],"(array([18.5, 25.8]),)","(array([17.2, 24.2]),)","(array([19.4, 28.5]),)","(array([18.2, 26. ]),)","(array([10.3, 18.3]),)","(array([ 8.9, 14.1]),)"
5507,Current Account (YoY)_1,NZDUSD,2,0.865,236.9,227.2,[ 96.2 140.7],[ 90.2 137. ],[42.5 86.8],[34.1 73.8],[53.6 96.9],[ 56.2 103.2],[32.1 52.7],[29.2 50.8],[22.6 43.6],[24.1 44. ],"(array([32.4, 47.9]),)","(array([29.7, 44.6]),)","(array([20.1, 29.9]),)","(array([20.2, 30.4]),)","(array([11.2, 19.4]),)","(array([12.2, 21.3]),)"
5508,Current Account (YoY)_1.5,NZDUSD,2,0.9,315.0,320.2,[136. 179.],[138.1 182.1],[ 62.3 112.9],[ 66.7 118.2],[ 73.7 120. ],[ 71.4 119.9],[59.3 84.2],[65.5 88.3],[38.9 73.3],[38.8 74.9],"(array([56.5, 74.8]),)","(array([61.2, 75.9]),)","(array([21.1, 31.1]),)","(array([22.8, 32.8]),)","(array([11.8, 20.2]),)","(array([12.2, 21.3]),)"
