index,News,Symbol,Space,Win Rate,Profit,Last 12 Profit,Max_Min,Max_Min_Last_Year,Max_Open,Max_Open_Last_Year,Min_Open,Min_Open_Last_Year,Time_of_Max,Time_of_Max_Last_Year,Time_of_Min,Time_of_Min_Last_Year,Time_of_MinMax,Time_of_MinMax_Last_Year,Buy_Stop,Buy_Stop_Last_Year,Sell_Stop,Sell_Stop_Last_Year
3282,Employment Level_3.5,NZDCHF,2,0.93,785.0999999999999,790.0999999999999,[299.2 485.9],[299.2 490.9],[171.1 339. ],[170.  259.3],[128.1 274.7],[129.2 317.5],[101.5 180.5],[110.5 184.1],[ 76.6 152.1],[ 75.1 146.8],"(array([132.5, 185.7]),)","(array([127.9, 176.4]),)","(array([38.3, 67.1]),)","(array([25. , 35.8]),)","(array([17.4, 36.3]),)","(array([10.1, 17.4]),)"
3283,Employment Level_4,NZDCHF,2,0.855,821.9000000000001,822.1,[315.3 506.6],[316.3 505.8],[184.6 355.8],[182.9 285.5],[130.6 283.3],[133.4 323.6],[119.2 210.3],[128.7 223.6],[ 85.5 168.8],[ 71.8 144. ],"(array([147.5, 207.8]),)","(array([145. , 208.8]),)","(array([39. , 68.2]),)","(array([25.4, 36.5]),)","(array([17.5, 36.9]),)","(array([10.3, 17.9]),)"
3284,GDP_0.5,NZDCHF,2,0.975,333.9,332.4,[133.6 200.3],[134.6 197.8],[ 70.3 126.8],[ 90.3 149.2],[ 63.3 141.4],[ 44.2 119. ],[14.2 26.7],[17.7 28.5],[ 9.9 22.4],[ 6.4 19.9],"(array([21.7, 29.1]),)","(array([23.2, 30.7]),)","(array([40.2, 69.7]),)","(array([35.2, 55.9]),)","(array([21.8, 44.2]),)","(array([16.6, 33.1]),)"
3285,GDP_1,NZDCHF,2,0.945,456.0,436.2,[183.3 272.7],[169.2 267. ],[ 94.3 166.9],[ 99.7 162.5],[ 89.  199.1],[ 69.6 189.1],[30.  52.7],[25.2 42.4],[21.7 44.9],[21.2 48.5],"(array([39.8, 54.4]),)","(array([36.6, 50.3]),)","(array([40.2, 69.7]),)","(array([35.2, 55.9]),)","(array([21.8, 44.2]),)","(array([16.6, 33.1]),)"
3286,GDP_1.5,NZDCHF,2,0.875,548.0,512.9,[223.2 324.8],[202.7 310.2],[119.  205.8],[115.3 183.7],[104.2 227.9],[ 87.4 216.3],[47.6 80.6],[36. 64.],[33.1 66.3],[30.7 64.3],"(array([57.7, 76.7]),)","(array([52.6, 71.5]),)","(array([40.2, 69.7]),)","(array([35.2, 55.9]),)","(array([21.8, 44.2]),)","(array([16.6, 33.1]),)"
3287,GDP_2,NZDCHF,2,0.92,606.9,650.3,[248.5 358.4],[258.1 392.2],[128.9 225.1],[132.2 203.3],[119.6 256.5],[125.9 302.2],[ 60.7 100.7],[ 63.7 107.4],[52.8 98.9],[ 75.3 121.8],"(array([69.2, 95. ]),)","(array([ 69.5, 100.2]),)","(array([40.2, 69.7]),)","(array([35.2, 55.9]),)","(array([21.8, 44.2]),)","(array([16.6, 33.1]),)"
3288,GDP_2.5,NZDCHF,2,0.905,657.8,719.7,[270.8 387. ],[281.6 438.1],[133.7 234.2],[130.1 203.1],[137.1 285.4],[151.5 351.9],[ 75.4 128.2],[ 71.7 123.7],[ 65.1 120. ],[ 93.1 143.2],"(array([ 84.5, 121.4]),)","(array([ 77.5, 117.5]),)","(array([40.1, 69.8]),)","(array([34.2, 54.7]),)","(array([21.6, 44.2]),)","(array([15.7, 31.9]),)"
3289,GDP_3,NZDCHF,2,0.885,692.1,791.9,[280.8 411.3],[301.4 490.5],[133.9 232.9],[133.6 208.5],[146.9 309.8],[167.8 403.6],[ 79.4 137.9],[ 73.3 127.9],[ 77.  141.4],[101.3 160.3],"(array([ 93.9, 137.3]),)","(array([ 87.3, 133.5]),)","(array([39.1, 68.3]),)","(array([34.2, 54.7]),)","(array([20.9, 43. ]),)","(array([15.7, 31.9]),)"
3290,GDP_3.5,NZDCHF,2,0.895,725.7,825.5999999999999,[297.2 428.5],[322.4 503.2],[141.8 243. ],[140.9 225.7],[155.4 319.6],[181.5 412.4],[ 91.3 158.5],[ 79.4 143.8],[ 90.3 166.1],[122.9 185.4],"(array([113.3, 162.6]),)","(array([109.3, 166.4]),)","(array([38.8, 68.3]),)","(array([34.2, 54.7]),)","(array([20.5, 42.7]),)","(array([15.7, 31.9]),)"
3291,GDP_4,NZDCHF,2,0.94,744.1,835.6,[306.8 437.3],[328.  507.6],[148.3 256.3],[140.9 225.7],[158.5 321.3],[187.1 414.7],[ 97.  173.1],[ 79.4 143.8],[108.4 196.5],[158.9 216.2],"(array([125.4, 184.1]),)","(array([102.5, 155.1]),)","(array([37.9, 67. ]),)","(array([34.2, 54.7]),)","(array([20.3, 42.3]),)","(array([15.7, 31.9]),)"
