index,News,Symbol,Space,Win Rate,Profit,Last 12 Profit,Max_Min,Max_Min_Last_Year,Max_Open,Max_Open_Last_Year,Min_Open,Min_Open_Last_Year,Time_of_Max,Time_of_Max_Last_Year,Time_of_Min,Time_of_Min_Last_Year,Time_of_MinMax,Time_of_MinMax_Last_Year,Buy_Stop,Buy_Stop_Last_Year,Sell_Stop,Sell_Stop_Last_Year
2271,IPPI (YoY)_4,CADJPY,2,0.855,1206.6,1047.7,[492.  714.6],[465.8 581.9],[255.4 468.2],[229.7 345.1],[236.6 447.9],[236.1 359.3],[116.3 198.1],[120. 200.],[ 89.9 166.7],[ 61.2 110.5],"(array([123.7, 184.1]),)","(array([107.8, 172.4]),)","(array([ 71.5, 125. ]),)","(array([ 96.8, 150.4]),)","(array([28.9, 54.4]),)","(array([37.9, 52.4]),)"
2272,Imports_0.5,CADJPY,2,0.9,561.1,485.1,[218.4 342.7],[216.6 268.5],[105.9 219.5],[ 90.2 139.6],[112.5 210.4],[126.4 197.8],[10.4 22.2],[11.9 22.4],[11.8 23.5],[ 9.8 17.6],"(array([19.6, 27.6]),)","(array([15.4, 20.2]),)","(array([ 70.6, 126.8]),)","(array([61.2, 84.2]),)","(array([30.3, 53.3]),)","(array([31.2, 51.9]),)"
2273,Imports_1,CADJPY,2,0.93,734.1,634.9000000000001,[289.1 445. ],[280.8 354.1],[139.3 276.6],[ 95.2 148.1],[149.8 284.1],[185.7 284.2],[22.2 43.1],[20.3 40.2],[24.9 46.8],[38.  57.6],"(array([33.9, 48.4]),)","(array([35.2, 47.8]),)","(array([ 70.8, 127.6]),)","(array([57.7, 80.6]),)","(array([30.2, 53.5]),)","(array([29.1, 50.5]),)"
2274,Imports_1.5,CADJPY,2,0.905,856.9,869.3,[345.7 511.2],[367.5 501.8],[170.6 324.2],[133.4 228.7],[175.1 323.5],[234.1 363.2],[40.2 74.4],[41.3 77.8],[39.5 71.8],[54.9 81.2],"(array([52.4, 75.6]),)","(array([54.6, 73. ]),)","(array([ 70.9, 128. ]),)","(array([57.7, 80.6]),)","(array([30.1, 53.6]),)","(array([29.1, 50.5]),)"
2275,Imports_2,CADJPY,3,0.58,1013.6,1033.3,[398.1 615.5],[451.8 581.5],[205.1 416.8],[161.2 293.8],[193.  350.3],[290.6 434.4],[50.2 92.7],[48.7 93.6],[50.2 92.5],[ 74.7 114.2],"(array([67.2, 97.7]),)","(array([ 81.7, 107.8]),)","(array([ 70.4, 128.2]),)","(array([57.7, 80.6]),)","(array([29. , 51.9]),)","(array([29.1, 50.5]),)"
2276,Imports_2.5,CADJPY,4,0.445,1116.0,1187.1,[439.3 676.7],[520.2 666.9],[224.9 447.7],[199.7 374.7],[214.4 383.3],[320.5 483.7],[ 62.8 115.6],[ 60.4 119.8],[ 68.9 123.8],[ 87.1 134.6],"(array([ 82.5, 121.4]),)","(array([100. , 127.1]),)","(array([ 70.4, 128.2]),)","(array([57.7, 80.6]),)","(array([29. , 51.9]),)","(array([29.1, 50.5]),)"
2277,Imports_3,CADJPY,3,0.6,1189.9,1269.2,[472.  717.9],[545.2 724. ],[240.3 471.3],[207.8 400. ],[231.7 415.8],[337.3 522. ],[ 77.8 142.5],[ 61.5 122.5],[ 78.3 141. ],[ 91.3 144. ],"(array([ 97.8, 144.4]),)","(array([105.3, 138.8]),)","(array([ 70.4, 128.2]),)","(array([57.7, 80.6]),)","(array([29. , 51.9]),)","(array([29.1, 50.5]),)"
2278,Imports_3.5,CADJPY,3,0.9366666666666666,1230.3,1285.6,[493.2 737.1],[553.6 732. ],[249.5 483.8],[211.7 402.5],[243.7 433.8],[341.9 532. ],[ 91.1 165.6],[ 85.  160.4],[ 90.5 163.3],[101.3 163. ],"(array([112.3, 166.7]),)","(array([124.8, 165.6]),)","(array([ 70.5, 128.5]),)","(array([57.7, 80.6]),)","(array([29., 52.]),)","(array([29.1, 50.5]),)"
2279,Imports_4,CADJPY,3,0.89,1274.8,1293.5,[513.3 761.5],[559.8 733.7],[257.5 495.8],[217.9 410. ],[255.8 459.6],[341.9 532. ],[101.9 185. ],[108.2 194.1],[103.3 185.7],[101.3 163. ],"(array([127. , 190.5]),)","(array([130.3, 176.6]),)","(array([ 70.5, 128.5]),)","(array([57.7, 80.6]),)","(array([29., 52.]),)","(array([29.1, 50.5]),)"
2280,Investing.com USD/CAD Index_0.5,CADJPY,4,0.615,250.4,422.4,[ 93.9 156.5],[156.8 265.6],[ 48.2 100.7],[105.5 223.1],[45.7 91.4],[51.3 89.7],[11.2 23.4],[18.  30.4],[11.8 23.7],[11.2 24.7],"(array([19.5, 27.6]),)","(array([23.3, 30.9]),)","(array([29.8, 50.4]),)","(array([41.2, 61.4]),)","(array([15.4, 29.8]),)","(array([19.4, 32.9]),)"
2281,Investing.com USD/CAD Index_1,CADJPY,3,0.58,383.1,638.0999999999999,[146.6 236.5],[261.2 376.9],[ 73.8 146.6],[157.9 296.1],[ 72.7 148.4],[103.3 227.1],[28. 50.],[31.5 51.3],[28.2 49.9],[21.2 46.1],"(array([35. , 50.2]),)","(array([39.2, 55.2]),)","(array([29.8, 50.4]),)","(array([41.2, 61.4]),)","(array([15.4, 29.8]),)","(array([19.4, 32.9]),)"
2282,Investing.com USD/CAD Index_1.5,CADJPY,2,0.855,467.3,769.1,[180.8 286.5],[316.6 452.5],[ 94.8 187.9],[185. 329.],[ 86.  171.6],[131.6 310.4],[43.4 75.2],[46.8 78.8],[41.3 73.2],[26.9 60.4],"(array([50.1, 72.2]),)","(array([60.2, 84.8]),)","(array([29.8, 50.4]),)","(array([41.2, 61.4]),)","(array([15.4, 29.7]),)","(array([19.4, 32.9]),)"
2283,Investing.com USD/CAD Index_2,CADJPY,2,0.86,555.3,904.8,[216.6 338.7],[384.4 520.4],[113.2 225.1],[222.3 396.5],[103.4 198.9],[162.1 344.8],[ 60.8 101.9],[ 62.7 109.1],[ 61.  103.7],[ 58.8 104.7],"(array([65., 94.]),)","(array([ 75.6, 104.9]),)","(array([29.8, 50.4]),)","(array([41.2, 61.4]),)","(array([15.4, 29.7]),)","(array([19.4, 32.9]),)"
2284,Investing.com USD/CAD Index_2.5,CADJPY,2,0.845,610.3,996.8,[239.8 370.5],[435.8 561. ],[121.2 239.8],[254.  434.5],[118.6 224.3],[181.8 375.2],[ 72.9 122.3],[ 82.7 136.8],[ 76.  127.9],[ 67.4 123.4],"(array([ 79.2, 114.5]),)","(array([ 89.6, 127.7]),)","(array([29.8, 50.5]),)","(array([41.2, 61.4]),)","(array([15.4, 29.7]),)","(array([19.4, 32.9]),)"
2285,Investing.com USD/CAD Index_3,CADJPY,3,0.5766666666666667,681.0,1099.6,[265.9 415.1],[468.6 631. ],[133.  261.5],[268.  468.6],[132.9 255.4],[200.6 431.9],[ 88.5 148.1],[ 89.  150.9],[ 91.2 153.1],[ 69.2 128.2],"(array([ 96.1, 139.4]),)","(array([ 97.7, 139.9]),)","(array([29.8, 50.5]),)","(array([41.2, 61.4]),)","(array([15.3, 29.7]),)","(array([19.4, 32.9]),)"
2286,Investing.com USD/CAD Index_3.5,CADJPY,2,0.875,752.6,1175.6,[288.3 464.3],[493.2 682.4],[144.7 295.2],[269.5 473.3],[143.6 283. ],[223.7 492.9],[102.5 173.2],[ 92.5 159.6],[100.9 171.5],[ 75.7 145.1],"(array([111.6, 162.9]),)","(array([107.7, 156.6]),)","(array([29.8, 50.5]),)","(array([41.2, 61.4]),)","(array([15.3, 29.7]),)","(array([19.4, 32.9]),)"
2287,Investing.com USD/CAD Index_4,CADJPY,2,0.865,796.6,1187.4,[306.  490.6],[497.5 689.9],[154.4 312.3],[273.8 484.3],[151.6 299.2],[223.7 492.9],[116.4 197.2],[ 97.2 171.7],[113.3 193.5],[ 75.7 145.1],"(array([127.3, 185.7]),)","(array([112.4, 167.9]),)","(array([29.8, 50.5]),)","(array([41.2, 61.4]),)","(array([15.3, 29.7]),)","(array([19.4, 32.9]),)"
