index,News,Symbol,Space,Win Rate,Profit,Last 12 Profit,Max_Min,Max_Min_Last_Year,Max_Open,Max_Open_Last_Year,Min_Open,Min_Open_Last_Year,Time_of_Max,Time_of_Max_Last_Year,Time_of_Min,Time_of_Min_Last_Year,Time_of_MinMax,Time_of_MinMax_Last_Year,Buy_Stop,Buy_Stop_Last_Year,Sell_Stop,Sell_Stop_Last_Year
7414,Current Account n.s.a._2,EURCAD,2,0.87,876.0,861.7,[349.5 526.5],[370.8 490.9],[170.3 313.1],[137.5 234.5],[179.2 333.7],[233.3 370.6],[49.3 92.2],[28.1 64.6],[ 60.  104.3],[ 86.6 122.6],"(array([ 73.2, 101.9]),)","(array([ 78.3, 108.3]),)","(array([ 65.2, 103.4]),)","(array([57.4, 75.8]),)","(array([31.8, 60.8]),)","(array([28.7, 43.9]),)"
7415,Current Account n.s.a._2.5,EURCAD,2,0.865,986.0,1030.2,[398.5 587.5],[441.5 588.7],[199.  359.8],[189.  337.1],[199.5 364.3],[252.5 392.9],[ 69.1 125.2],[ 72.1 129.2],[ 74.9 128.8],[ 88.  128.1],"(array([ 88.5, 125.2]),)","(array([ 71.9, 104.3]),)","(array([ 65.7, 104. ]),)","(array([63. , 77.9]),)","(array([32. , 61.2]),)","(array([33. , 48.5]),)"
7416,Current Account n.s.a._3,EURCAD,3,0.89,1126.3000000000002,1105.8,[450.6 675.7],[483.5 622.3],[221.4 407.4],[203.7 352.1],[229.2 426.7],[279.7 435.2],[ 85.4 151.8],[ 79.4 143.9],[ 93.1 156.7],[ 93.1 139.6],"(array([105.1, 149.3]),)","(array([ 84.3, 131.2]),)","(array([ 65.7, 104. ]),)","(array([63. , 77.9]),)","(array([32. , 61.2]),)","(array([33. , 48.5]),)"
7417,Current Account n.s.a._3.5,EURCAD,3,0.9333333333333332,1248.6,1173.3000000000002,[500.3 748.3],[512.2 661.1],[244.8 445.1],[210.6 375.1],[255.5 474.8],[301.6 441.6],[105.6 183.5],[ 85.4 157.2],[117.4 193.6],[122.1 184. ],"(array([123. , 178.7]),)","(array([115.8, 169.1]),)","(array([ 65.7, 104. ]),)","(array([63. , 77.9]),)","(array([32. , 61.2]),)","(array([33. , 48.5]),)"
7418,Current Account n.s.a._4,EURCAD,3,0.92,1505.4,1253.2,[605.5 899.9],[558.2 695. ],[282.1 501.1],[234.4 403. ],[323.4 624.5],[323.7 475.8],[124.3 212.7],[123.1 217.2],[141.2 228. ],[131.7 205.6],"(array([137.5, 206.5]),)","(array([146.2, 203.6]),)","(array([ 65.7, 104. ]),)","(array([63. , 77.9]),)","(array([32. , 61.2]),)","(array([33. , 48.5]),)"
7419,Deposit Facility Rate_0.5,EURCAD,2,0.84,1443.6,1404.5,[505.6 938. ],[576.3 828.2],[254.5 654.5],[301.3 623. ],[251.1 515.3],[275.  496.1],[11.6 24.2],[ 6.7 18.6],[10.2 21.6],[ 9.2 22.4],"(array([19.1, 28.4]),)","(array([20.3, 30.6]),)","(array([161.5, 271.3]),)","(array([235.5, 375.7]),)","(array([ 72.8, 137. ]),)","(array([104.6, 165.9]),)"
7420,Deposit Facility Rate_1,EURCAD,2,0.875,1860.2,1951.1,[ 686.1 1174.1],[ 793.2 1157.9],[356.9 820. ],[380.5 713. ],[329.2 668.3],[412.7 823.5],[25.4 49. ],[25.3 49.5],[25.3 47.9],[32.2 57.3],"(array([34.5, 51.7]),)","(array([40.5, 55.2]),)","(array([161.4, 271.9]),)","(array([232.4, 374.3]),)","(array([ 72.1, 136.4]),)","(array([ 94.9, 160.7]),)"
7421,Deposit Facility Rate_1.5,EURCAD,2,0.945,2199.5,2215.3,[ 829.8 1369.7],[ 924.6 1290.7],[425.7 942.5],[423.7 776.1],[404.1 793.2],[500.9 904.5],[38.6 72.7],[39.3 71.6],[46.2 81. ],[41.7 74.6],"(array([57. , 80.6]),)","(array([57.8, 77.1]),)","(array([161.4, 271.9]),)","(array([232.4, 374.3]),)","(array([ 72.1, 136.4]),)","(array([ 94.9, 160.7]),)"
7422,Deposit Facility Rate_2,EURCAD,2,0.955,2495.9,2466.3,[ 940.4 1555.5],[1068.7 1397.6],[ 463.2 1064.8],[435.9 815.3],[477.2 913.5],[ 632.7 1090.6],[46.6 87.4],[43.2 81.9],[ 64.  109.5],[ 63.6 109.9],"(array([ 72.6, 102. ]),)","(array([ 69.3, 100.7]),)","(array([161.4, 271.9]),)","(array([232.4, 374.3]),)","(array([ 72.1, 136.4]),)","(array([ 94.9, 160.7]),)"
7423,Deposit Facility Rate_2.5,EURCAD,2,0.915,2742.2,2573.3,[1015.9 1726.3],[1130.5 1442.8],[ 497.5 1203.7],[459.4 863.9],[518.4 983.7],[ 671.1 1141.8],[ 52.6 102.4],[48.7 96.8],[ 75.8 130.7],[ 66.6 116.6],"(array([ 88.4, 125. ]),)","(array([ 77.7, 113.4]),)","(array([161.4, 271.9]),)","(array([232.4, 374.3]),)","(array([ 72.1, 136.4]),)","(array([ 94.9, 160.7]),)"
7424,Deposit Facility Rate_3,EURCAD,2,0.95,2919.4,2710.8,[1077.4 1842. ],[1189.1 1521.7],[ 525.5 1292.8],[475.9 915.3],[ 552.  1043.3],[ 713.2 1213.2],[ 57.5 115.6],[ 51.9 106.4],[ 90.3 157.2],[ 87.  154.2],"(array([106.5, 152.3]),)","(array([101.4, 157.1]),)","(array([161.4, 271.9]),)","(array([232.4, 374.3]),)","(array([ 72.1, 136.4]),)","(array([ 94.9, 160.7]),)"
7425,Deposit Facility Rate_3.5,EURCAD,2,0.915,3045.0,2750.7,[1127.1 1917.9],[1205.1 1545.6],[ 549.7 1340.9],[478.2 923.3],[ 577.4 1101.1],[ 726.9 1237.3],[ 61.6 125.7],[ 55.2 117.4],[100.5 177. ],[103.  181.4],"(array([120.7, 172.5]),)","(array([120.7, 182.2]),)","(array([161.4, 271.9]),)","(array([232.4, 374.3]),)","(array([ 72.1, 136.4]),)","(array([ 94.9, 160.7]),)"
