index,News,Symbol,Space,Win Rate,Profit,Last 12 Profit,Max_Min,Max_Min_Last_Year,Max_Open,Max_Open_Last_Year,Min_Open,Min_Open_Last_Year,Time_of_Max,Time_of_Max_Last_Year,Time_of_Min,Time_of_Min_Last_Year,Time_of_MinMax,Time_of_MinMax_Last_Year,Buy_Stop,Buy_Stop_Last_Year,Sell_Stop,Sell_Stop_Last_Year
4145,Tankan Big Manufacturing Outlook Index_3.5,AUDJPY,2,0.835,1043.6,1090.6,[405.  638.6],[411.2 679.4],[186.  377.5],[148.4 281.5],[219.  427.3],[262.7 537.4],[ 85.4 150.8],[ 84.7 153.4],[ 80. 150.],[ 82.1 157.7],"(array([105.1, 154.1]),)","(array([114.5, 173.4]),)","(array([42.5, 62.4]),)","(array([44.9, 65.9]),)","(array([21. , 35.5]),)","(array([22.4, 37.8]),)"
4146,Tankan Big Manufacturing Outlook Index_4,AUDJPY,2,0.85,1181.5,1337.6999999999998,[447.  734.5],[478.9 858.8],[202.8 403.9],[156.3 306.5],[244.2 517.4],[322.6 715.3],[106.5 187.6],[103.  191.4],[102.2 192. ],[114.1 214.7],"(array([126.2, 189.7]),)","(array([147.7, 221.7]),)","(array([42.5, 62.4]),)","(array([44.9, 65.9]),)","(array([21. , 35.5]),)","(array([22.4, 37.8]),)"
4147,Tankan Large Manufacturers Index_0.5,AUDJPY,2,0.875,379.3,387.0,[159.1 220.2],[161.7 225.3],[ 63.5 118. ],[ 50.3 101.7],[ 95.6 159.1],[111.3 189.6],[ 7.9 19.3],[ 9.2 22.1],[13.  23.6],[14.  23.2],"(array([17.7, 25.5]),)","(array([16.5, 22.9]),)","(array([50.6, 81. ]),)","(array([43.2, 62.8]),)","(array([25.3, 44.4]),)","(array([21.9, 36.6]),)"
4148,Tankan Large Manufacturers Index_1,AUDJPY,2,0.75,558.2,501.4,[225.  333.2],[209.6 291.8],[ 89.3 178.6],[ 60.5 122.4],[135.7 226.9],[149.1 243.3],[17.4 39.4],[15.9 39.4],[33.1 53.3],[29.6 51.2],"(array([36.1, 50.2]),)","(array([37.5, 52.3]),)","(array([49. , 79.8]),)","(array([43.2, 62.8]),)","(array([24.3, 43.5]),)","(array([21.9, 36.6]),)"
4149,Tankan Large Manufacturers Index_1.5,AUDJPY,2,0.935,722.2,608.3,[293.5 428.7],[255.4 352.9],[119.5 221.6],[ 85.  167.3],[174.  297.4],[170.4 263.5],[40.4 75.9],[36.7 73.6],[44.5 72.2],[43.6 69.2],"(array([49.3, 71.5]),)","(array([42.7, 60.5]),)","(array([49. , 79.8]),)","(array([43.2, 62.8]),)","(array([24.3, 43.5]),)","(array([21.9, 36.6]),)"
4150,Tankan Large Manufacturers Index_2,AUDJPY,2,0.94,841.2,703.1,[336.4 504.8],[287.3 415.8],[140.5 265.3],[108.3 212.2],[195.9 349.7],[179.  279.4],[ 56.6 102.3],[ 58.2 108.9],[53.8 90.1],[50.2 85.1],"(array([63.7, 94.8]),)","(array([63.9, 94.6]),)","(array([49. , 79.8]),)","(array([43.2, 62.8]),)","(array([24.3, 43.5]),)","(array([21.9, 36.6]),)"
4151,Tankan Large Manufacturers Index_2.5,AUDJPY,2,0.86,1017.5,769.0,[390.9 626.6],[312.7 456.3],[174.1 348. ],[121.8 240.8],[216.8 424.5],[190.9 305.4],[ 68.5 122.7],[ 63.3 120. ],[ 64.5 113.2],[ 57.9 104.4],"(array([ 82.1, 120.7]),)","(array([ 76.7, 115.4]),)","(array([49.2, 80.3]),)","(array([43.2, 62.8]),)","(array([24.5, 43.8]),)","(array([21.9, 36.6]),)"
4152,Tankan Large Manufacturers Index_3,AUDJPY,2,0.93,1072.2,919.4,[412.7 659.5],[360.2 559.2],[181.6 366.3],[131.3 262.5],[231.1 452.7],[228.9 413.9],[ 73.7 134.8],[ 72.8 140.5],[ 77.6 137. ],[ 73.4 137. ],"(array([ 96.6, 140.9]),)","(array([101.7, 152.5]),)","(array([49.2, 80.3]),)","(array([43.2, 62.8]),)","(array([24.5, 43.8]),)","(array([21.9, 36.6]),)"
4153,Tankan Large Manufacturers Index_3.5,AUDJPY,2,0.86,1136.5,1090.6,[437.3 699.2],[411.2 679.4],[188.5 373.9],[148.4 281.5],[248.8 496.5],[262.7 537.4],[ 81.9 146.7],[ 84.7 153.4],[ 84.3 152.7],[ 82.1 157.7],"(array([105.5, 153.8]),)","(array([114.5, 173.4]),)","(array([49.2, 80.7]),)","(array([44.9, 65.9]),)","(array([24.1, 43.5]),)","(array([22.4, 37.8]),)"
4154,Tankan Large Manufacturers Index_4,AUDJPY,2,0.825,1181.1999999999998,1337.6999999999998,[454.9 726.3],[478.9 858.8],[207.  405.6],[156.3 306.5],[247.9 509.4],[322.6 715.3],[106.6 189.7],[103.  191.4],[105.6 193. ],[114.1 214.7],"(array([124.4, 186.4]),)","(array([147.7, 221.7]),)","(array([48.2, 79.4]),)","(array([44.9, 65.9]),)","(array([23.2, 42. ]),)","(array([22.4, 37.8]),)"
4155,Tankan Large Non-Manufacturers Diffusion Index_0.5,AUDJPY,2,0.865,379.3,387.0,[157.1 222.2],[161.7 225.3],[ 62.4 118.6],[ 50.3 101.7],[ 94.7 159.5],[111.3 189.6],[ 7.6 18.9],[ 9.2 22.1],[13.6 24. ],[14.  23.2],"(array([17.3, 24.9]),)","(array([16.5, 22.9]),)","(array([48. , 79.5]),)","(array([43.2, 62.8]),)","(array([23.3, 42.4]),)","(array([21.9, 36.6]),)"
4156,Tankan Large Non-Manufacturers Diffusion Index_1,AUDJPY,2,0.77,562.2,501.4,[225.  337.2],[209.6 291.8],[ 90.7 182.5],[ 60.5 122.4],[134.3 229.3],[149.1 243.3],[17.9 40.3],[15.9 39.4],[32.2 52.8],[29.6 51.2],"(array([36.8, 50.9]),)","(array([37.5, 52.3]),)","(array([48. , 79.5]),)","(array([43.2, 62.8]),)","(array([23.3, 42.4]),)","(array([21.9, 36.6]),)"
4157,Tankan Large Non-Manufacturers Diffusion Index_1.5,AUDJPY,2,0.955,685.4000000000001,608.3,[281.8 403.6],[255.4 352.9],[124.  228.7],[ 85.  167.3],[157.8 266.2],[170.4 263.5],[43.2 79. ],[36.7 73.6],[42.7 70.2],[43.6 69.2],"(array([49.4, 72. ]),)","(array([42.7, 60.5]),)","(array([48. , 79.5]),)","(array([43.2, 62.8]),)","(array([23.3, 42.4]),)","(array([21.9, 36.6]),)"
4158,Tankan Large Non-Manufacturers Diffusion Index_2,AUDJPY,2,0.94,786.5999999999999,703.1,[321.2 465.4],[287.3 415.8],[147.1 275. ],[108.3 212.2],[174.1 299.6],[179.  279.4],[ 61.1 106.4],[ 58.2 108.9],[49.7 84.9],[50.2 85.1],"(array([62. , 93.4]),)","(array([63.9, 94.6]),)","(array([48. , 79.5]),)","(array([43.2, 62.8]),)","(array([23.3, 42.4]),)","(array([21.9, 36.6]),)"
4159,Tankan Large Non-Manufacturers Diffusion Index_2.5,AUDJPY,2,0.85,918.5,769.0,[365.2 553.3],[312.7 456.3],[180.7 358.6],[121.8 240.8],[184.5 327.6],[190.9 305.4],[ 72.4 126.5],[ 63.3 120. ],[ 59.4 105.9],[ 57.9 104.4],"(array([ 79.7, 118.5]),)","(array([ 76.7, 115.4]),)","(array([48. , 79.5]),)","(array([43.2, 62.8]),)","(array([23.3, 42.4]),)","(array([21.9, 36.6]),)"
4160,Tankan Large Non-Manufacturers Diffusion Index_3,AUDJPY,2,0.925,982.8,919.4,[388.6 594.2],[360.2 559.2],[188.8 377.8],[131.3 262.5],[199.9 366.7],[228.9 413.9],[ 78.1 139.1],[ 72.8 140.5],[ 72.9 131.5],[ 73.4 137. ],"(array([ 94.6, 140. ]),)","(array([101.7, 152.5]),)","(array([48. , 79.5]),)","(array([43.2, 62.8]),)","(array([23.3, 42.4]),)","(array([21.9, 36.6]),)"
