index,News,Symbol,Space,Win Rate,Profit,Last 12 Profit,Max_Min,Max_Min_Last_Year,Max_Open,Max_Open_Last_Year,Min_Open,Min_Open_Last_Year,Time_of_Max,Time_of_Max_Last_Year,Time_of_Min,Time_of_Min_Last_Year,Time_of_MinMax,Time_of_MinMax_Last_Year,Buy_Stop,Buy_Stop_Last_Year,Sell_Stop,Sell_Stop_Last_Year
1249,German 10-Year Bund Auction_1,EURJPY,3,0.5833333333333334,571.6,690.3,[225.4 346.2],[300.5 389.8],[105.8 206.2],[176.7 315.7],[119.7 229.3],[123.8 236.9],[24.  46.6],[15.5 30.7],[27.8 49.7],[32.1 58.1],"(array([34.8, 50.1]),)","(array([40.2, 53. ]),)","(array([57.5, 90.8]),)","(array([ 90.6, 131.8]),)","(array([29.9, 52.7]),)","(array([45.5, 69. ]),)"
1250,German 10-Year Bund Auction_1.5,EURJPY,3,0.8966666666666666,702.3,1036.2,[275.1 427.2],[426.2 610. ],[128.8 256.6],[233.4 469.7],[146.3 286.8],[192.7 365.3],[37.5 71.4],[29.1 62.8],[42.8 75.2],[47.  84.8],"(array([55. , 77.7]),)","(array([63.9, 85.9]),)","(array([57.5, 90.8]),)","(array([ 90.6, 131.8]),)","(array([29.9, 52.7]),)","(array([45.5, 69. ]),)"
1251,German 10-Year Bund Auction_2,EURJPY,3,0.5733333333333334,840.0,1185.0,[324.1 515.9],[497.8 687.2],[156.2 304.5],[286.8 527.6],[167.9 343.6],[211.  389.2],[ 57.9 104.3],[ 65.  116.8],[55.7 97. ],[51.1 93.8],"(array([69.5, 99.8]),)","(array([ 84.9, 111.7]),)","(array([57.5, 90.8]),)","(array([ 90.6, 131.8]),)","(array([29.9, 52.7]),)","(array([45.5, 69. ]),)"
1252,German 10-Year Bund Auction_2.5,EURJPY,2,0.875,940.4,1345.5,[366.5 573.9],[564.1 781.4],[183.1 352.9],[326.3 575.8],[183.4 373.8],[237.7 467.5],[ 80.2 136.2],[ 87.1 143.9],[ 69.  121.3],[ 62.1 119. ],"(array([ 89.1, 128.6]),)","(array([104.5, 139.9]),)","(array([57.5, 90.8]),)","(array([ 90.6, 131.8]),)","(array([29.9, 52.7]),)","(array([45.5, 69. ]),)"
1253,German 10-Year Bund Auction_3,EURJPY,2,0.855,1060.1,1596.2,[415.3 644.8],[652.2 944. ],[211.8 408.5],[380.7 671.9],[203.5 407. ],[271.6 575.1],[100.5 165.5],[110.3 174.4],[ 89.  154.1],[ 82.4 150. ],"(array([105.7, 152.7]),)","(array([119.1, 163.4]),)","(array([57.5, 90.8]),)","(array([ 90.6, 131.8]),)","(array([29.9, 52.7]),)","(array([45.5, 69. ]),)"
1254,German 10-Year Bund Auction_3.5,EURJPY,3,0.9266666666666666,1204.4,1720.1,[479.3 725.1],[ 698.2 1021.9],[245.1 468. ],[414.7 744.8],[234.2 450.6],[283.4 609.8],[120.3 195.7],[127.1 202.2],[111.5 188.2],[ 83.7 153.1],"(array([123.2, 177.7]),)","(array([137.1, 185.2]),)","(array([57.5, 90.8]),)","(array([ 90.6, 131.8]),)","(array([29.9, 52.7]),)","(array([45.5, 69. ]),)"
1255,German 10-Year Bund Auction_4,EURJPY,3,0.9166666666666666,1287.9,1847.2,[516.  771.9],[ 762.5 1084.7],[263.1 497.9],[460.5 812.7],[252.9 482.8],[302.  641.5],[133.6 215.1],[139.5 225.3],[119.9 203.9],[ 91.3 171.1],"(array([136., 196.]),)","(array([157.2, 214.3]),)","(array([57.5, 90.8]),)","(array([ 90.6, 131.8]),)","(array([29.9, 52.7]),)","(array([45.5, 69. ]),)"
1256,German 12-Month Bubill Auction_0.5,EURJPY,2,0.87,421.5,351.8,[172.3 249.2],[157.5 194.3],[ 88.  170.7],[ 76.2 134.3],[ 84.3 147.9],[ 81.2 128.7],[10.9 22.9],[10.2 22.8],[12.7 24.4],[12.6 24.4],"(array([19.3, 26.7]),)","(array([17.2, 24.1]),)","(array([52.7, 83. ]),)","(array([50.6, 69.6]),)","(array([26.5, 45.6]),)","(array([19.7, 33.3]),)"
1257,German 12-Month Bubill Auction_1,EURJPY,3,0.5466666666666666,574.6,551.9,[231.5 343.1],[238.2 313.7],[135.6 263.7],[152.5 268.4],[ 95.9 167.9],[ 85.7 147.1],[30.2 53.2],[35.3 56.9],[22.3 41.6],[16.7 34.8],"(array([34.9, 49.6]),)","(array([34.9, 47.1]),)","(array([52.5, 83. ]),)","(array([48.4, 67. ]),)","(array([26.4, 45.6]),)","(array([18.6, 31.4]),)"
1258,German 12-Month Bubill Auction_1.5,EURJPY,2,0.825,734.3,878.8,[293.4 440.9],[365.3 513.5],[176.7 340.8],[264.7 455.2],[116.7 217.6],[100.6 173.5],[47.3 78.8],[61.6 84.9],[36.3 67.3],[22.9 51.4],"(array([52.3, 72.9]),)","(array([54.7, 74.3]),)","(array([52.5, 83. ]),)","(array([48.4, 67. ]),)","(array([26.4, 45.6]),)","(array([18.6, 31.4]),)"
1259,German 12-Month Bubill Auction_2,EURJPY,3,0.95,828.8,914.4,[333.3 495.5],[384.5 529.9],[199.5 387.7],[273.2 458.5],[133.8 242.5],[111.3 191.7],[56.8 94.3],[67.2 92.2],[50.2 94.3],[34.4 77.3],"(array([66.3, 92.2]),)","(array([65.5, 84.3]),)","(array([52.5, 83. ]),)","(array([48.4, 67. ]),)","(array([26.4, 45.6]),)","(array([18.6, 31.4]),)"
1260,German 12-Month Bubill Auction_2.5,EURJPY,3,0.9,906.6,959.5,[366.7 539.9],[408.6 550.9],[216.6 415.6],[281.7 464.7],[150.1 276.3],[126.9 223.6],[ 72.2 119.7],[ 91.8 126.6],[ 60.8 114.2],[ 49.3 103.6],"(array([ 80.8, 113. ]),)","(array([ 85. , 107.2]),)","(array([52.5, 83. ]),)","(array([48.4, 67. ]),)","(array([26.4, 45.6]),)","(array([18.6, 31.4]),)"
1261,German 12-Month Bubill Auction_3,EURJPY,2,0.845,1010.3,1072.7,[411.2 599.1],[460.7 612. ],[229.8 428.2],[288.  467.7],[181.5 340.4],[172.7 283.8],[ 90.1 148.6],[ 96.7 139.2],[ 86.8 154.3],[ 93.2 169.9],"(array([103.4, 142.5]),)","(array([ 98.3, 123.2]),)","(array([52.5, 83. ]),)","(array([48.4, 67. ]),)","(array([26.4, 45.6]),)","(array([18.6, 31.4]),)"
1262,German 12-Month Bubill Auction_3.5,EURJPY,2,0.86,1146.7,1158.4,[461.  685.7],[502.2 656.2],[247.1 454.5],[314.1 502.3],[213.9 404.3],[188.2 321.7],[101.7 169.3],[122.4 177.3],[105.  183.4],[ 94.7 172.9],"(array([112.5, 160.4]),)","(array([106.7, 145.1]),)","(array([52.5, 83. ]),)","(array([48.4, 67. ]),)","(array([26.4, 45.6]),)","(array([18.6, 31.4]),)"
1263,German 12-Month Bubill Auction_4,EURJPY,2,0.83,1215.1,1208.1,[490.6 724.5],[527.2 680.9],[258.4 473.8],[328.2 529.9],[232.2 434.7],[198.9 332.6],[110.6 184.9],[136.3 202. ],[123.  209.6],[110.9 195.9],"(array([123.4, 183.2]),)","(array([114.2, 164.2]),)","(array([52.5, 83. ]),)","(array([48.4, 67. ]),)","(array([26.4, 45.6]),)","(array([18.6, 31.4]),)"
1264,German 2-Year Schatz Auction_0.5,EURJPY,2,0.85,470.6,441.2,[177.1 293.5],[195.  246.2],[ 84.8 182.2],[ 96.3 171.9],[ 92.3 195.1],[ 98.7 175.4],[ 9.6 21.1],[ 8.7 19.7],[11.3 23.8],[ 8.3 21.8],"(array([19.6, 27.6]),)","(array([20.3, 28.9]),)","(array([58.8, 97.8]),)","(array([59.4, 85.7]),)","(array([30.8, 60.6]),)","(array([32.9, 58.2]),)"
1265,German 2-Year Schatz Auction_1,EURJPY,3,0.8933333333333333,612.3,737.7,[236.7 375.6],[294.3 443.4],[116.7 244.5],[165.5 329.8],[120.  235.1],[128.8 193.3],[25.  47.8],[26.7 52.2],[26.2 48.5],[25.6 43.1],"(array([34.9, 50. ]),)","(array([32.3, 45.7]),)","(array([58.8, 98.1]),)","(array([60.1, 88.3]),)","(array([30.6, 60.5]),)","(array([29.3, 50.8]),)"
1266,German 2-Year Schatz Auction_1.5,EURJPY,2,0.875,733.0999999999999,923.3,[286.4 446.7],[373.2 550.1],[138.7 280.6],[212.2 420.1],[147.7 288.7],[161.  274.7],[37.7 69.3],[40.8 76.6],[41.  74.6],[38.7 67.9],"(array([52.2, 75.2]),)","(array([48.2, 76. ]),)","(array([58.8, 98.1]),)","(array([60.1, 88.3]),)","(array([30.6, 60.5]),)","(array([29.3, 50.8]),)"
1267,German 2-Year Schatz Auction_2,EURJPY,2,0.88,851.4000000000001,1083.1,[336.3 515.1],[444.2 638.9],[163.7 321.7],[272.6 503.3],[172.6 330.7],[171.7 284.3],[54.1 99.1],[ 70.2 116.3],[ 59.6 102.8],[48.  82.4],"(array([ 72.9, 104. ]),)","(array([67. , 95.2]),)","(array([58.8, 98.1]),)","(array([60.1, 88.3]),)","(array([30.6, 60.5]),)","(array([29.3, 50.8]),)"
1268,German 2-Year Schatz Auction_2.5,EURJPY,3,0.5666666666666667,968.4,1248.6,[385.1 583.3],[502.8 745.8],[194.5 376. ],[319.2 603.1],[190.5 365.4],[183.6 313.2],[ 73.3 130.2],[ 76.7 129.6],[ 71.4 122.7],[ 55.  101.3],"(array([ 88.2, 124.8]),)","(array([ 80.5, 119.8]),)","(array([58.8, 98.1]),)","(array([60.1, 88.3]),)","(array([30.6, 60.5]),)","(array([29.3, 50.8]),)"
1269,German 2-Year Schatz Auction_3,EURJPY,3,0.5933333333333334,1078.6,1437.3,[428.4 650.2],[600.3 837. ],[222.1 425.7],[359.7 668.9],[206.3 400.3],[240.7 386. ],[ 92.7 158.8],[ 92.5 146.4],[ 84.1 145.4],[ 80.6 142.3],"(array([106.5, 150.7]),)","(array([100.4, 141.3]),)","(array([59. , 98.4]),)","(array([60.1, 88.3]),)","(array([30.8, 60.7]),)","(array([29.3, 50.8]),)"
1270,German 2-Year Schatz Auction_3.5,EURJPY,2,0.89,1220.0,1823.5,[480.4 739.6],[ 739.3 1084.2],[252.8 494.1],[476.6 871.1],[227.6 437.3],[262.7 434.3],[114.  190.5],[146.8 216.1],[110.5 186.5],[ 85.9 155. ],"(array([123., 174.]),)","(array([116.1, 171.8]),)","(array([59. , 98.4]),)","(array([60.1, 88.3]),)","(array([30.8, 60.7]),)","(array([29.3, 50.8]),)"
