index,News,Symbol,Space,Win Rate,Profit,Last 12 Profit,Max_Min,Max_Min_Last_Year,Max_Open,Max_Open_Last_Year,Min_Open,Min_Open_Last_Year,Time_of_Max,Time_of_Max_Last_Year,Time_of_Min,Time_of_Min_Last_Year,Time_of_MinMax,Time_of_MinMax_Last_Year,Buy_Stop,Buy_Stop_Last_Year,Sell_Stop,Sell_Stop_Last_Year
8309, RBA Interest Rate Decision _1,NZDCAD,3,0.5733333333333334,500.7000000000001,377.8,[175.6 325.1],[149.5 228.3],[ 86.8 177.4],[ 51.7 102.2],[ 88.8 215.6],[ 97.7 172.4],[29.5 53.1],[30.3 55. ],[24.  49.2],[21.  45.9],"(array([35.3, 54.8]),)","(array([45., 63.]),)","(array([ 52.6, 125.4]),)","(array([44.4, 90.2]),)","(array([22.5, 52.1]),)","(array([19.2, 37.3]),)"
8310, RBA Interest Rate Decision _1.5,NZDCAD,2,0.825,651.7,553.7,[246.  405.7],[228.7 325. ],[115.1 218.3],[ 78.2 146.2],[130.9 278.3],[150.6 243.5],[43.4 72.5],[43.4 69.7],[45.2 79.5],[46.  81.5],"(array([39.2, 64.7]),)","(array([35.4, 59.1]),)","(array([ 52.7, 127.1]),)","(array([44.4, 90.2]),)","(array([22.6, 52.7]),)","(array([19.2, 37.3]),)"
8311, RBA Interest Rate Decision _2,NZDCAD,2,0.78,673.0,669.3,[259.4 413.6],[270.5 398.8],[122.8 231.2],[ 87.  158.4],[136.6 277.8],[183.5 288. ],[51.  87.7],[51.2 85.4],[54.9 95.9],[58.2 98.6],"(array([51.3, 84. ]),)","(array([52.4, 78.2]),)","(array([46.9, 97.3]),)","(array([44.4, 90.2]),)","(array([20.8, 46.7]),)","(array([19.2, 37.3]),)"
8312, RBA Interest Rate Decision _2.5,NZDCAD,4,0.6575,708.4000000000001,700.7,[275.3 433.1],[288.1 412.6],[134.3 251.6],[ 97.8 182.3],[140.9 284.8],[190.2 292.7],[ 67.8 118.1],[ 75.2 127.9],[ 64.3 113.5],[ 83.3 133.9],"(array([ 72.7, 113.9]),)","(array([ 89. , 128.9]),)","(array([47.3, 98. ]),)","(array([44.4, 90.2]),)","(array([20.8, 46.7]),)","(array([19.2, 37.3]),)"
8313, RBA Interest Rate Decision _3,NZDCAD,2,0.88,755.5,773.0,[293.8 461.7],[330.2 442.8],[145.7 283.1],[119.2 215.3],[148.1 292.8],[211. 326.],[ 83.7 145.4],[ 81.9 143.6],[ 82.8 147.8],[ 96.9 161. ],"(array([ 94. , 144.9]),)","(array([109.3, 159.6]),)","(array([46.1, 96. ]),)","(array([44.4, 90.2]),)","(array([20.9, 47. ]),)","(array([19.2, 37.3]),)"
8314, RBA Interest Rate Decision _3.5,NZDCAD,2,0.85,873.8,793.9,[320.3 553.5],[343.7 450.2],[162.9 380.9],[123.4 223.7],[157.4 306.1],[220.2 336.9],[ 96.3 169.5],[ 84.5 150.6],[ 92.9 166.8],[ 99.8 167.6],"(array([109.1, 165.7]),)","(array([114.8, 169. ]),)","(array([46.1, 96. ]),)","(array([44.4, 90.2]),)","(array([20.9, 47. ]),)","(array([19.2, 37.3]),)"
8315, RBA Interest Rate Decision _4,NZDCAD,2,0.88,941.3,891.2,[350.3 591. ],[399.2 492. ],[174.6 398.8],[128.  237.6],[175.7 342.1],[271.2 405.8],[114.8 200.2],[ 91.3 167.9],[118.3 209.1],[144.1 240.6],"(array([139.8, 205.4]),)","(array([151.7, 229.5]),)","(array([46.1, 96. ]),)","(array([44.4, 90.2]),)","(array([20.9, 47. ]),)","(array([19.2, 37.3]),)"
8316, RBA Meeting Minutes _0.5,NZDCAD,4,0.68,293.6,290.0,[119.3 174.3],[119.8 170.2],[53.4 98.6],[31.2 60.5],[ 65.9 117.7],[ 88.6 150.8],[10.  21.5],[ 7.  18.6],[12.8 25.2],[14.2 26.3],"(array([19.9, 27.9]),)","(array([22.2, 30.4]),)","(array([32.9, 49. ]),)","(array([27.7, 35.9]),)","(array([16.8, 29.1]),)","(array([13.7, 21.9]),)"
8317, RBA Meeting Minutes _1,NZDCAD,4,0.5725,416.9,377.9,[165.6 251.3],[167.7 210.2],[ 82.8 170.9],[50.  92.8],[ 82.8 144.6],[117.7 182.5],[24.7 47.3],[18.9 40.5],[25.  46.7],[30.6 51.1],"(array([35.7, 50.7]),)","(array([35. , 49.2]),)","(array([32.5, 48.4]),)","(array([27.7, 35.9]),)","(array([16.2, 27.9]),)","(array([13.7, 21.9]),)"
8318, RBA Meeting Minutes _1.5,NZDCAD,2,0.875,512.7,456.8,[208.6 304.1],[194.2 262.6],[101.8 196.7],[ 65.5 128.9],[106.8 190.7],[128.7 210.3],[41.5 73.4],[28.8 59. ],[41.7 74.6],[43.  71.9],"(array([52.6, 74.3]),)","(array([50.2, 73.3]),)","(array([31.4, 46.5]),)","(array([27.7, 35.9]),)","(array([16. , 27.8]),)","(array([13.7, 21.9]),)"
